,Name,Code,ICAO
741,Embry-Riddle Aeronautical University,,ERU
742,Emerald Airlines,EA,EAI
743,Emerald Airlines UK,,EAG
744,Emetebe,,EMT
745,Emirates,EK,UAE
746,Emirates Flight Training Academy,,EFC
747,Emperor Aviation,,EMM
748,Empire Airlines,EM,CFS
749,Empire Aviation,,MJE
750,Empresa Publica de Transporte Aereo Militar,,EPT
751,Empyreal Jet,,RLJ
752,ENAC Ecole Aviation Civile,,NAK
753,Encore Air Cargo,,DKT
754,Endeavor Air,9E,EDV
755,Enter Air,E4,ENT
756,Envoy,MQ,ENY
757,Epic Flight Academy,,EPI
758,Epsilon Aviation,,GRV
759,Era Helicopters,,ERH
760,Estafeta,E7,ESF
761,Estelar,ES,ETR
762,Estonia - Air Force,,EEF
763,Eswatini Air,RN,SZL
764,ETF Airways,LI,EZZ
765,Ethiopian Airlines,ET,ETH
766,Etihad Airways,EY,ETD
767,Euro Link,,EUL
768,Euro-Asia Air,5B,EAK
769,EuroAtlantic Airways,YU,MMZ
770,Eurocopter Deutschland,,RDF
771,European Air Charter,H6,BUC
772,European Air Transport,QY,BCS
773,European Cargo,SE,URO
774,European Flight Academy,,PTO
775,European Flight Service,,EUW
776,European Flyers,,FYS
777,European SAO,,EKT
778,Eurowings,EW,EWG
779,Eurowings Europe,E6,EWL
780,EVA Air,BR,EVA
781,Everts Air Alaska,5V,VTS
782,EWA Air,ZD,EWR
783,Excellent Air,,ECA
784,Exclusive Aviation,,REE
785,Execuflight,,EFT
786,Execujet Middle East,,EJO
787,Execujet Scandinavia,,VMP
788,Executive Airlink,,ENK
789,Executive Aviation Corporation,,SIY
790,Executive Jet Charter,,EXJ
791,Executive Jet Management,,EJM
792,Exploits Valley Air Services,8K,EVS
793,Express Air Cargo,7A,XRC
794,Express Freighters Australia,QE,EFA
795,Exxaero,,XRO
796,Eznis Airways,MG,EZA
797,Ezy Airlines,,EZT
798,FAI rent-a-jet,,IFA
799,Falcon Aviation Services,,FVS
800,Fanjet Express,7F,FJE
801,Farmingdale State University,,FDL
802,Fast Air,,PBR
803,Fastjet,FN,FJW
804,FedEx,FX,FDX
805,Fenix Air Charter,,FNX
806,Feuerwehr-Flugdienst Niedersachsen,,FFD
807,Fiji Airways,FJ,FJI
808,Fiji Link,,FJA
809,Finistair,,FTR
810,Finland - Air Force,,FNF
811,Finland - Border Guard,,FNG
812,Finnair,AY,FIN
813,FinnHEMS,,FIH
814,Firefly,FY,FFM
815,First Air,7F,FAB
816,First Nation Airways,,FRN
817,FitsAir,8D,EXV
818,Flair Airlines,F8,FLE
819,Fleet Air International,,FRF
820,Flexflight,W2,FXT
821,Flexjet,,LXJ
822,Flexjet Europe,,FLJ
823,Flexjet Operations Malta,,FJO
824,Flight Calibration Services,,FCK
825,Flight Calibration Services,,VOR
826,Flight Choice,,FCE
827,Flight Fast Track,,FTT
828,Flight options,,OPT
829,Flight Training Europe,,AYR
830,FlightExec,,FEX
831,Flightline,,FTL
832,Flightlink,YS,FLZ
833,Flightpath Charter Airways,,KNT
834,Flightworks,,FWK
835,Florida Air Cargo,,FAS
836,Florida Flyers Flight Academy,,FFY
837,Fltplan,,DCM
838,Flugfelag Islands,NY,FXI
839,Fly 7,,FSF
840,Fly Across,,ACW
841,Fly Air41,,BER
842,Fly AllWays,8W,EDR
843,Fly ALS,,ALW
844,Fly Angola,EQ,FLA
845,Fly Baghdad,IF,FBA
846,Fly Jet KZ,,FJK
847,Fly Khiva,D3,KFH
848,Fly Oya,YI,OYA
849,Fly Pro,FP,PVV
850,Fly Sky Airlines,,FSQ
851,Fly Sky Airlines,,FSU
852,Fly Tyrol,,FTY
853,Fly Yemen Airlines,,FYO
854,Fly-Coop Air Service,,FCA
855,Fly2Sky,F6,VAW
856,Fly4 Airlines,,FFA
857,Fly540,5H,FFV
858,Fly91,IC,GOA
859,Flyadeal,F3,FAD
860,FlyArystan,,AYN
861,FlyBig,S9,FLG
862,Flybondi,FO,FBZ
863,FlyDubai,FZ,FDB
864,FlyEgypt,FT,FEG
865,flyExclusive,,JRE
866,FlyGTA Airlines,SX,TOR
867,Flying Business Aviation,,FBX
868,Flying Service,,FYG
869,Flyinggroup,,FYL
870,FlyJinnah,9P,FJL
871,Flylili,FL,LIL
872,FlyMe,VP,VQI
873,FlyMontserrat,5M,MNT
874,FlyNamibia,WV,FLN
875,Flynas,XY,KNE
876,FlyOne,5F,FIA
877,FlyOne Armenia,3F,FIE
878,FlyOne Romania,OE,FOE
879,FlyPelican,FP,FRE
880,FlySafair,FA,SFR
881,FlySchool,,FSM
882,FlyWales,,PYN
883,Fort Aero,,FRX
884,Four Corners Aviation,,ULA
885,Fox Aviation,,FIX
886,FR Aviation,,FRA
887,France - Air Force,,FAF
888,France - Air Forces Command,,CTM
889,France - Army,,FMY
890,France - Customs,,FDO
891,France - Navy,,FNY
892,France - Securite Civile,,FRU
893,Franconia Air Service,,FRC
894,Freebird Airlines,FH,FHY
895,Freebird Airlines Europe,MI,FHM
896,Freedom Airline Express,4F,FDT
897,Freedom Airline Express,4K,SMK
898,Freight Runners Express,,FRG
899,French Bee,BF,FBU
900,Frontier,F9,FFT
901,FROST Air,,FRO
902,FTL Airlines,C0,FGO
903,Fuji Dream Airlines,JH,FDA
904,Fuzhou Airlines,FU,FZA
905,FX TerraDynamics,,FTX
906,GainJet,,GNJ
907,Galistair Infinite Aviation,8S,GTR
908,Gama Aviation,,GMA
909,Gama Aviation Cayman,,GKY
910,Gama Aviation UAE,,GSH
911,Garuda Indonesia,GA,GIA
912,Gazpromavia,4G,GZP
913,Gelix Airlines,,GAI
914,Gelix Airlines,,GLX
915,General Atomic AeroTech Systems,,DOR
916,Genex,,GNX
917,Genghis Khan Airlines,9D,NMG
918,Georgian Airlines,GH,IGT
919,Georgian Airways,A9,TGZ
920,Georgian Aviation University,,AUG
921,Geosky,D4,GEL
922,German Airways,ZQ,GER
923,Germanwings,4U,GWI
924,Germany - Air Ambulance,,CHX
925,Germany - Air Force,,GAF
926,Germany - Army,,GAM
927,Germany - DLR Flugbetriebe,,LFO
928,Germany - Navy,,GNY
929,Gesellschaft Fur Flugzieldarstellung,,GFD
930,Gestair,,GES
931,Gestair Aviation Malta,,GSM
932,Getjet Airlines,GW,GJT
933,Getjet Airlines Latvia,,DML
934,Ghadames Air Transport,NJ,GMS
935,Ghana - Air Force,,GHF
936,Global Air Charters,,GJE
937,Global Air Transport,5S,GAK
938,Global Airways,,GBL
939,Global Aviation,,MSS
940,Global Aviation Burkina Faso,,GBF
941,Global Jet Austria,,GLJ
942,Global Jet Luxembourg,,SVW
943,Global Reach Aviation,,GAV
944,Global Wings,,GWW
945,Global X,G6,GXA
946,GlobeAir,,GAC
947,Go First,G8,GOW
948,Go Jet Aviation,,GYS
949,Go2Sky,6G,RLX
950,GoJet ,G7,GJS
951,GOL Linhas Aereas,G3,GLO
952,Goldeck Flug,,GDK
953,Gouvernement du Quebec,,QUE
954,GP Aviation,IV,GPX
955,Grafair,,GFM
956,Grand Canyon Airlines,YR,CVU
957,Grand China Air,CN,GDC
958,Grant Aviation,GV,GUN
959,Greater Bay Airlines,HB,HGB
960,Greece - Air Force,,HAF
961,Greece - Army,,HLA
962,Greece - Navy,,HNA
963,Green Africa Airways,Q9,GWG
964,Greybird Aviation,,GAG
965,Gryphon Air,,GRG
966,GTA Air,,GTX
967,Gulf Air,GF,GFA
968,Gulf and Caribbean Cargo,IF,TSU
969,Gulf Wings,,GWC
970,GullivAir,G2,GBG
971,Gum Air,,GUM
972,Guna Airlines,,GUA
973,GX Airlines,GX,CBG
974,Hahn Air,HR,HHN
975,Hai Au Aviation,,HAI
976,Hainan Airlines,HU,CHH
977,Hala Air,HG,HTP
978,Halla Airlines,,HGA
979,Hangar 8,,HGR
980,Hanseo University,,HSF
981,Harmony Jets,,HMJ
982,Haute Aviation,,BOM
983,Haute Aviation,,HUE
984,Hawaiian Airlines,HA,HAL
985,Hebei Airlines,NS,HBH
986,Heli Air Monaco,YO,MCM
987,Heli Air Services,,HLR
988,Heli Holland,,HHE
989,Heli Securite,,HLI
990,Heli Service International,,HSO
991,Héli-Union,,HLU
992,Helicol,,HEL
993,Helijet International,,JBA
994,Helistar,,HTS
995,Helistar,,HSR
996,Helitrans,,HDR
997,HELITY Copter Airlines,,HTY
998,Hello Jets,H3,HLJ
999,Helvetic Airways,2L,OAW
1000,Hera Flight,,HER
1001,Hermes Airlines,H3,HRM
1002,Heron Aviation,,HRN
1003,Heston Airlines,HN,HST
1004,Hi Fly,5K,HFY
1005,Hi Fly Malta,3L,HFM
1006,Hibernian Airlines,HG,HBN
1007,Himalaya Airlines,H9,HIM
1008,Hinterland Aviation,OI,HND
1009,HiSky,H7,HYM
1010,HiSky Europe,H4,HYS
1011,HK express,UO,HKE
1012,HNV Cote d'Ivoire,,HNZ
1013,Hokkaido Air System,,NTH
1014,Holiday Europe,5Q,HES
1015,Hong Kong - Government Flying Service,,GFS
1016,Hong Kong Air Cargo,RH,HKC
1017,Hong Kong Airlines,HX,CRK
1018,Hop-A-Jet,,HPJ
1019,Horizon Air,QX,QXE
1020,HTM Helicopter Travel Munich,,HTM
1021,Hummingbird Aviation,,ETI
1022,Humo Air,HJ,USW
1023,Hungary - Air Force,,HUF
1024,Hunnu Air,MR,MML
1025,Hydro Quebec,0Q,HYD
1026,Hyperion Aviation,,HYP
1027,I-Fly,F7,RSY
1028,I-Fly Air,,IFY
1029,iAero Airways,WQ,SWQ
1030,IAS Medical,,MDI
1031,IASCO Flight Training,,MMY
1032,IBC Airways,II,CSQ
1033,Iberia,IB,IBE
1034,Iberia Express,I2,IBS
1035,Iberojet,E9,EVE
1036,Ibex Airlines,FW,IBX
1037,Ibom Air,QI,IAN
1038,Icar Air,,RAC
1039,Iceland - Coast Guard,,ICG
1040,Icelandair,FI,ICE
1041,ICS-Aero,,ICF
1042,IFL Group,,IFL
1043,Ikar,EO,KAR
1044,Image Air Charter,,BMG
1045,ImperialJet,,JTI
1046,India - Air Force,,IFC
1047,Indiana State University,,ISU
1048,IndiaOne Air,I7,IOA
1049,IndiGo,6E,IGO
1050,Indonesia AirAsia,QZ,AWQ
1051,Initium Aviation,,INI
1052,Inner Mongolia Express,,IME
1053,iNTAIRLINE,,ITI
1054,Intel Air Shuttle,,HGT
1055,InterCaribbean Airways,JY,IWY
1056,InterJet West,K8,IJW
1057,International Committee of the Red Cross,,RED
1058,International Jet Management,,IJM
1059,IrAero,IO,IAE
1060,Iran Air,IR,IRA
1061,Iran Airtour,B9,IRB
1062,Iran Aseman Airlines,EP,IRC
1063,Iraq Gate Company,,IGC
1064,Iraqi Airways,IA,IAW
1065,Irving Oil Transport,,KCE
1066,Island Wings,,IWL
1067,Israir Airlines,6H,ISR
1068,ITA Airways,AZ,ITY
1069,Italfly,,ITL
1070,Italy - Air Force,,IAM
1071,Italy - Army,,IEI
1072,Italy - Coast Guard,,GCI
1073,Italy - Navy,,MMI
1074,iXAir,,IXR
1075,Izhavia,I8,IZA
1076,JA Air Charter,,LTD
1077,Jackson Demolition Service,,JDS
1078,Jambojet,JM,JMA
1079,Japan Air Commuter,JC,JAC
1080,Japan Airlines,JL,JAL
1081,Japan Transocean Air,NU,JTA
1082,Jayawijaya Dirgantara,,JWD
1083,Jazeera Airways,J9,JZR
1084,Jazz Aviation,QK,JZA
1085,JC Bamford Excavators,,JCB
1086,Jeju Air,7C,JJA
1087,Jet Aviation Business Jets,PP,PJS
1088,Jet Aviation Business Jets Deutschland,,JBD
1089,Jet Aviation Flight Services,,JAS
1090,Jet Charter,N2,JCT
1091,Jet Concierge Club,,JCO
1092,Jet Edge,,EDG
1093,Jet Executive,,JEI
1094,Jet Fly Airline,,JFL
1095,Jet It,,JIT
1096,Jet Linx Aviation,JL,JTL
1097,Jet Logistics,,JLG
1098,Jet Net Services,,JNS
1099,Jet OUT,,CRE
1100,Jet Sky Airways,,JTK
1101,Jet Story,,JDI
1102,Jet Test International,,JTN
1103,Jet View,,JVW
1104,Jet2,LS,EXS
1105,Jetair Caribbean,4J,JRC
1106,Jetbee Czech,,JBC
1107,JetBlue,B6,JBU
1108,Jetcall,,JCL
1109,Jetconnect,,QNZ
1110,JetFlite,,JEF
1111,Jetfly Aviation,,JFA
1112,JetHouse,,JTH
1113,Jetkontor,,JKH
1114,Jetlines,AU,CJL
1115,JetNetherlands,,JNL
1116,JetNEXA,,JNX
1117,Jetology,,JTY
1118,JetRight,,JRT
1119,Jetset,,CEO
1120,JetSMART,JA,JAT
1121,JetSMART Argentina,WJ,JES
1122,JetSMART Colombia,J6,JEC
1123,JetSMART Peru,JZ,JAP
1124,Jetspremier,,JPM
1125,Jetstar,JQ,JST
1126,Jetstar Asia,3K,JSA
1127,Jetstar Japan,GK,JJP
1128,JetStream,,JSH
1129,JetStream Charter,,VTB
1130,Jetsuite Air,,RSP
1131,Jettime,JP,JTD
1132,Jetways Airlines,WU,JWX
1133,Jhonlin Air Transport,,JLB
1134,Jiangsu Jingdong Cargo Airlines,JG,JDL
1135,Jiangxi Air,RY,CJX
1136,Jiangxi Express Commuter Aviation,,KXA
1137,Jin Air,LJ,JNA
1138,Jinxiang Airlines,,JXX
1139,Jivair,,JIV
1140,JoinJet,,JNJ
1141,Jonair,,JON
1142,Jonika,,JNK
1143,Jordan - Air Force,,RJZ
1144,Jordan Aviation,R5,JAV
1145,Journey Aviation,,JNY
1146,JoyAir,JR,JOY
1147,JS Aviation,,JSM
1148,JSX,XE,JSX
1149,Jubba Airways,3J,JBW
1150,Jump Air,,JUP
1151,Juneyao Air,HO,DKH
1152,Jung Sky,,JSY
1153,K&R Aviation,,OPN
1154,K-Mile Air,8K,KMI
1155,K5-Aviation Germany,,KAY
1156,KaiserAir,,KAI
1157,Kalitta Air,K4,CKS
1158,Kalitta Charters,K9,KFS
1159,Kalitta Charters II,K5,KII
1160,Kam Air,RQ,KMF
1161,Kamaka Air,,KMK
1162,Kangala Air Express,,KAE
1163,Kargo Xpress,WW,KXP
1164,Karun Airlines,,KRU
1165,Keewatin Air,FK,KEW
1166,Kelowna Flightcraft Air,FK,KFA
1167,Kenai Aviation,,KNW
1168,Kenmore Air,M5,KEN
1169,Kenn Borek Air,4K,KBA
1170,Kent State University,,KSF
1171,Kenya Airways,KQ,KQA
1172,Key Air,,KEY
1173,Key Lime Air,KG,LYM
1174,KhabAvia,,KHF
1175,Kingfisher Air,,BEZ
1176,Kish Air,,KIS
1177,KlasJet,,KLJ
1178,KLM,KL,KLM
1179,KLM Cityhopper,WA,KLC
1180,KM Malta Airlines,KM,KMM
1181,KN Helicopters,,SHW
1182,Komiaviatrans,KO,KMA
1183,Korea Aerospace University,,HGD
1184,Korea Aviation College,,KAG
1185,Korea National University of Transportation,,KTU
1186,Korean Air,KE,KAL
1187,Kosmos Airlines,,KSM
1188,Krasavia,KV,SSJ
1189,Kudlik Aviation,,KUK
1190,Kunming Airlines,KY,KNA
1191,Kuwait Airways,KU,KAC
1192,Kyungwoon University,,WCD
1193,L.J. Aviation,,LJY
1194,L3Harris Airline Academy,,LFA
1195,La Compagnie,B0,DJT
1196,La Costena,LC,NIS
1197,Labcorp,,SKQ
1198,LADE,5U,LDE
1199,LAM,TM,LAM
1200,Lanmei Airlines,LQ,MKR
1201,Lao Airlines,QV,LAO
1202,Lao Skyway,LK,LLL
1203,LAS Cargo,4L,LAU
1204,Laser Airlines,QL,LER
1205,LATAM Airlines,LA,LAN
1206,LATAM Brasil,JJ,TAM
1207,LATAM Cargo,UC,LCO
1208,LATAM Cargo Brasil,M3,LTG
1209,LATAM Cargo Colombia,L7,LAE
1210,LATAM Chile,LU,LXP
1211,LATAM Colombia,4C,ARE
1212,LATAM Ecuador,XL,LNE
1213,LATAM Paraguay,PZ,LAP
1214,LATAM Peru,LP,LPE
1215,Latvia - Air Force,,LAF
1216,Lauda Europe,LW,LDA
1217,Leader,,LSA
1218,LEAV Aviation,KK,NGN
1219,Legacy Airways,,LGF
1220,Legend Airlines,LZ,LAL
1221,Legends Airways,,DVY
1222,Libya - Air Force,,LBF
1223,Libyan Airlines,LN,LAA
1224,Libyan Express,,LXX
1225,Libyan Wings,YL,LWA
1226,Liebherr Aerospace,,LHB
1227,Life Line Aviation,,LLK
1228,Lift,GE,GBB
1229,Lion Air,JT,LNI
1230,Lion Helicopters,,LHE
1231,Lipican Aer,8I,LIP
1232,Lithuania - Air Force,,LYF
1233,Liz Aviation,L0,LAZ
1234,LLC H3Operations,,UHO
1235,Loganair,LM,LOG
1236,Lone Star Aviators,,BST
1237,LongJiang Airlines,LT,SNG
1238,Longtail Aviation,6T,LGT
1239,Loong Air,GJ,CDC
1240,LOT,LO,LOT
1241,Lucky Air,8L,LKE
1242,Lufthansa,LH,DLH
1243,Lufthansa Cargo,,GEC
1244,Lufthansa CityLine,CL,CLH
1245,Lufttransport,,LTR
1246,Lumiwings,L9,LWI
1247,Lunds Universitet,,UNY
1248,Luxair,LG,LGL
1249,Luxaviation,,LXA
1250,Luxaviation Belgium,,AAB
1251,Luxaviation E.A,,LMJ
1252,Luxaviation Germany,,LXG
1253,Luxaviation UK,,LNX
1254,Luxembourg Air Ambulance,,LRQ
1255,Luxwing,BN,LWG
1256,Lydd Air,,LYD
1257,Lynden Air Cargo,L2,LYC
1258,MAE Aircraft Management,MA,MEN
1259,Maersk,DJ,SRR
1260,Magnicharters,UJ,GMT
1261,Mahan Air,W5,IRM
1262,Makers Air,,WMA
1263,Malawi Airlines,3W,MWI
1264,Malaysia - Air Force,,RMF
1265,Malaysia Airlines,MH,MAS
1266,Maldivian,Q2,DQA
1267,Maleth-Aero,DB,MLT
1268,Mali Air,,MAE
1269,Malta Air,,MAY
1270,Malta MedAir,MT,MMO
1271,Manasik Aviation,XN,MNM
1272,Mandarin Airlines,AE,MDA
1273,Mann Yadanarpon Airlines,7Y,MYP
1274,Manta Air,NR,MAV
1275,Map Linhas Aereas,7M,PAM
1276,Marabu,DI,MBU
1277,Marathon Airlines,O8,MTO
1278,Martinair Holland,MP,MPH
1279,Martinaire,,MRA
1280,mas,M7,MAA
1281,Massey University School of Aviation,,MSY
1282,MASwings,MY,MWG
1283,Mater Logistics,,TKH
1284,Mauritania Airlines International,L6,MAI
1285,Mavi Gok Airlines,4M,MGH
1286,Max Air,VM,NGL
1287,Max Aviation,,MAX
1288,Maxair,,NTW
1289,Maximus Airlines,6M,MXM
1290,Maya Island Air,2M,MYD
1291,McCall Aviation,,MKL
1292,McNeely Charter Services,,MDS
1293,MEA,ME,MEA
1294,Med-Trans,,MEK
1295,Medavia,,MDM
1296,Medsky Airways,BM,MNS
1297,Mel Air,5M,MDO
1298,Meraj Airlines,,MRJ
1299,Mercury Air Cargo,4X,MEC
1300,Meridian,,MEM
1301,Meridian Air Company,,MMM
1302,Mermoz-Academy,,MZY
1303,Mesa Airlines,YV,ASH
1304,Mexicana,,MXA
1305,Mexicana,,MEX
1306,Mexico - Air Force,,FAM
1307,Mexico - Government,,MXG
1308,Mexico - Navy,,ANX
1309,MHS Aviation,M2,MHV
1310,Miami Air Lease,,MGD
1311,MIAT Mongolian Airlines,OM,MGL
1312,Mid Africa Aviation,,MFG
1313,Midamerica Jet,,MJR
1314,Middle Georgia State University,,NIT
1315,Middle Tennessee State University,,MTU
1316,Midwest Aviation,,DZR
1317,Midwest Aviation Division,,MWT
1318,Millesime Aviation,,MIM
1319,Mingalar,K7,KBZ
1320,MJet,,MJF
1321,MNG Airlines,MB,MNB
1322,Moalem Aviation,,AMA
1323,Moçambique Expresso,,MXE
1324,Modern Logistics,WD,MWM
1325,Monacair,QM,MCR
1326,Mongolian Airways,XF,MGW
1327,Morningstar Air Express,,MAL
1328,Motor Sich Airlines,M9,MSI
1329,Mountain Air Cargo,,MTN
1330,Mountain Aviation,,FTH
1331,Mountain Flyers,,MFB
1332,Move,,MVE
1333,Multiflight,,MFT
1334,My Freighter,C6,MFX
1335,My Indo Airlines,2Y,MYU
1336,My Jet,,MYJ
1337,My Jet Saver,,MJS
1338,Myanmar Airways International,8M,MMA
1339,Myanmar National Airlines,UB,UBA
1340,MyWay Airlines,MJ,MYW
1341,Naljets,,APX
1342,Nam Air,IN,LKN
1343,Namibia - Defence Force,,NDF
1344,Nantucket Airlines,,ACK
1345,National Air Charters,JY,JYA
1346,National Airlines,N8,NCR
1347,National Airways,9Y,NAE
1348,National Airways Corporation,,NTN
1349,National Jet Express,NC,JTE
1350,National Jet Systems,,QJE
1351,NATO,,OAN
1352,Nauru Airlines,ON,RON
1353,Naysa,ZN,NAY
1354,Neojets,,NJZ
1355,Neos,NO,NOS
1356,Nepal Airlines,RA,RNA
1357,Nesma Airlines,NE,NMA
1358,Netherlands - Coast Guard,,NCG
1359,Netherlands - Navy,,NRN
1360,Netherlands - Royal Air Force,,NAF
1361,NetJets,,EJA
1362,NetJets Europe,,NJE
1363,Netjets UK,,NJU
1364,Network Aviation,,NWK
1365,New England Airlines,EJ,NEA
1366,New England Patriots,,UDG
1367,New Pacific Airlines,7H,RVF
1368,New Way Cargo Airlines,NU,NWY
1369,New Zealand - Royal New Zealand Air Force,,KIW
1370,NG Eagle,2N,XLE
1371,NHC Northern Helicopter,,NHC
1372,NHV,,NHD
1373,NHV Helicopters,,NHZ
1374,Nicholas Air,,JTZ
1375,Niger Airlines,6N,NIN
1376,Nigeria - Air Force,,NGR
1377,Nile Air,NP,NIA
1378,Nippon Cargo Airlines,KZ,NCA
1379,Nok Air,DD,NOK
1380,Nolinor Aviation,N5,NRL
1381,Nomad Aviation,,NUM
1382,Nomadic Aviation,,OMD
1383,Noordzee Helikopters Vlaanderen,,NHX
1384,Nordic Unmanned,,NOU
1385,Nordica,ND,NDA
1386,NordStar,Y7,TYA
1387,Nordwind Airlines,N4,NWS
1388,Norlandair,,FNA
1389,NORRA,N7,FCM
1390,Norse,N0,NBT
1391,Norse UK,Z0,UBT
1392,Norsk Luftambulanse,,DOC
1393,North Cariboo Air,,NCB
1394,North Central,,NCJ
1395,North Flying,,NFA
1396,North Pole Parcel Service,,R3D
1397,North Star Aviation,,MVK
1398,North-West Air Company,0E,NWC
1399,North-Western Cargo International Airlines,CO,CNW
1400,North-Wright Airways,HW,NWL
1401,Northeastern Aviation Corporation,,NEW
1402,Northern Air,,NLI
1403,Northern Air Cargo,NC,NAC
1404,Northern Jet Management,,NJM
1405,Northern Thunderbird Air,,NTA
1406,Northway Aviation,,NAL
1407,Northwest Flyers,,NWF
1408,Northwestern Air,J3,PLR
1409,Norway - Air Force,,NOW
1410,Norwegian,DY,NOZ
1411,Norwegian Air Sweden,D8,NSZ
1412,Nouvelair Tunisie,BJ,LBT
1413,Nova Airways,,NOV
1414,Novair,NG,NAI
1415,NovaJet,,NOJ
1416,Novoair,VQ,NVQ
1417,Nxt Jet,,KPO
1418,Nyxair,OJ,NYX
1419,Offshore Helicopter Services,,ULR
1420,Ohio State University,,OSU
1421,OK Aviation,,NTF
1422,Okay Airways,BK,OKA
1423,Oklahoma State University,,OST
1424,Olympic Air,OA,OAL
1425,Olympus Airways,,OLY
1426,Oman - Royal Air Force,,MJN
1427,Oman Air,WY,OMA
1428,Omni Air International,OY,OAE
1429,Omni Air Transport,,DRL
1430,Omni Aviation,,OAV
1431,Omni Taxi Aereo,,OMI
1432,One Air,HC,HGO
1433,One Airways,OX,OEW
1434,Orbest,6O,OBS
1435,Oriental Air Bridge,OC,ORC
1436,Origin Air,OG,OGN
1437,Ornge Air,,PUL
1438,Ortac,,ORT
1439,Oscar Jet,,OSJ
1440,OSM Aviation Academy,,SCQ
1441,OTT Airlines,JF,OTT
1442,Overland Airways,OF,OLA
1443,Owenair,,OWE
1444,Oyonnair,,OYO
1445,P80 Air,,PMG
1446,Paccair,,WIS
1447,Pacific Coast Jet,,PXT
1448,Pacific Coastal Airlines,8P,PCO
1449,PADAviation,,PVD
1450,Pakistan International Airlines,PK,PIA
1451,PAL Aerospace,,SPR
1452,PAL Airlines,PB,PVL
1453,PAL Express,2P,GAP
