,Name,Code,ICAO
1454,Palau Express Airlines,P9,PXC
1455,Pan American Airways,PN,PAA
1456,Pan Europeenne,,EUP
1457,Pan Europeenne Air Service,,PEA
1458,Panaviatic,,VPC
1459,Panellenic Airlines,,RJB
1460,Panorama Airways,5P,UZP
1461,Panorama Aviation,,PNO
1462,Paranair,ZP,AZP
1463,Pascan Aviation,P6,PSC
1464,PassionAir,OP,DIG
1465,Patient Airlift Services,,PLZ
1466,Patria Pilot Training,,PPT
1467,Patriot Aviation,,PTT
1468,PDG Aviation Services,,PDG
1469,Peach,MM,APJ
1470,Pegasus,PC,PGT
1471,Pegasus Elite Aviation,,PEG
1472,Pel-Air,,PFY
1473,Pelita Air,IP,PAS
1474,People's,PE,PEV
1475,Performance Air,,PRZ
1476,Perimeter Aviation,YP,PAG
1477,Peru - Air Force,,FPR
1478,Peru - Navy,,INP
1479,Petroleum Air Service,UF,PER
1480,Petropavlovsk-Kamchatsky Air,,PTK
1481,PHI,,PHM
1482,Philippine Airlines,PR,PAL
1483,Philippines AirAsia,Z2,APG
1484,Phoenix Aerospace,,PIX
1485,Phoenix Air,PH,GRB
1486,Phoenix East Aviation,,JED
1487,Piedmont Airlines,PT,PDT
1488,Pilatus Flugzeugwerke,,PCH
1489,Pilot Flight Academy,,PIP
1490,Pineapple Air,,PNP
1491,Pink Sparrow,,SOW
1492,Pivot Airlines,ZX,GGN
1493,PixAir Survey,,PXR
1494,Placar Linhas Aereas,,PLS
1495,Planemaster Services,,PMS
1496,PlaneSense,,CNS
1497,Planet 9,,PVA
1498,Platoon Aviation,,PTN
1499,Play,OG,FPY
1500,Plus Ultra,PU,PUE
1501,PNG Air,CG,TOK
1502,Pobeda,DP,PBD
1503,Poland - Air Force,,PLF
1504,Poland - Navy,,PNY
1505,Polar Air Cargo,PO,PAC
1506,Polar Airlines,PI,RKA
1507,Polish Medical Air Rescue,,LPR
1508,populAir,HP,APF
1509,Porter,P3,PTR
1510,Porter Airlines Canada,PD,POE
1511,Portugal - Air Force,,AFP
1512,Portugal - Army,,POA
1513,Portugal - Navy,,PON
1514,Portugalia Airlines,NI,PGA
1515,Poste Air Cargo,M4,MSA
1516,Pradhaan Air Express,6P,PRX
1517,Pratt and Whitney,,PWC
1518,Precision Air,PW,PRF
1519,Precision Aircraft Management,,PRE
1520,Premier Jets,,PJI
1521,Premier Private Jets,,MVP
1522,Presidential Aviation,,PRD
1523,Priester Aviation,,PWA
1524,Prime Aviation.,,PKZ
1525,Prince Aviation,,PNC
1526,Priority Air Charter,,PRY
1527,Privaira,,PVO
1528,Private Jet Center,,PJC
1529,Private Jets,,OKC
1530,Private Wings,JW,PWF
1531,Privilege Style,P6,PVG
1532,ProAir Aviation,,PAV
1533,Proflight Zambia,P0,PFZ
1534,Propair,,PRO
1535,PSA Airlines,OH,JIA
1536,Purdue University,,PDU
1537,QA Aviation,,QAV
1538,Qanot Sharq,HH,QNT
1539,Qantas,QF,QFA
1540,QantasLink,,QLK
1541,Qatar - Amiri Flight,,QAF
1542,Qatar Airways,QR,QTR
1543,Qatar Executive,QE,QQE
1544,Qayatawa Air,,QYT
1545,Qazaq Air,IQ,QAZ
1546,Qeshm Airlines,QB,QSM
1547,QinetiQ,,EIS
1548,QinetiQ / Empire Test Pilots School,,ETP
1549,Qingdao Airlines,QW,QDA
1550,Qingdao Jiutian International Flight Academy,,QJT
1551,Quanta Aviation Services,,PWR
1552,Quest Diagnostics,,LBQ
1553,Quick Air Jet Charter,,QAJ
1554,Quikjet Cargo Airlines,QO,FQA
1555,RAF-Avia,MT,MTL
1556,Raindo United Service,R0,RBF
1557,RAM Express,,RXP
1558,Rano Air,R4,RAN
1559,Ravenair,,RVR
1560,Raya Airways,TH,RMY
1561,REACH Air Medical Services,,REH
1562,Real Tonga Airline,,RLT
1563,Really Cool Airlines,,LUV
1564,Rectimo Air Transports,,RTO
1565,Rectrix Aviation,,RIX
1566,Red Air,L5,REA
1567,Red Sea Airlines,4S,RSX
1568,Red Wing Aviation,,LAK
1569,Red Wings,WZ,RWZ
1570,Redding Aero Enterprises,,BXR
1571,Redstar Aviation,,RHH
1572,Reeve Air Alaska,,RVV
1573,REGA Swiss Air-Ambulance,,SAZ
1574,REGA Swiss Air-Rescue,,RGA
1575,Regency Air,,RGY
1576,Regional Air Services,8N,REG
1577,Reliable Airlines,,HPN
1578,Reliant Air,,RLI
1579,Renegade Air,,RNG
1580,Rennia Aviation,,RNI
1581,Republic Airways,YX,RPA
1582,Revv Aviation,,FRV
1583,Rex,ZL,RXA
1584,RGA-Black Stone Airlines,,RGM
1585,Rhoades Aviation,T4,RDS
1586,Richland Aviation,,RCA
1587,Richmor Aviation,,RJC
1588,Rimbun Air,RI,OEY
1589,RiseAir,4T,WEW
1590,Riyadh Air,,RXI
1591,Romania - Air Force,,ROF
1592,ROMCargo Airlines,NJ,RCR
1593,Roraima Airways,,ROM
1594,Rose Air,,REM
1595,Rossiya,FV,SDM
1596,Rotana Jet,RG,RJD
1597,Royal Air Freight,,RAX
1598,Royal Air Maroc,AT,RAM
1599,Royal Brunei Airlines,BI,RBA
1600,Royal Jordanian,RJ,RJA
1601,Royal Wings,JO,RYW
1602,Royalair Philippines,RW,RYL
1603,RS Avia,,URA
1604,Rubystar,,RSB
1605,Ruili Airlines,DR,RLH
1606,RusJet,,RSJ
1607,Rusline,7R,RLU
1608,Russia - 223rd Flight Unit State Airline,,CHD
1609,Russia - 224th Flight Unit State Airline,,TTF
1610,Russia - Air Force,,RFF
1611,Russia - Ministry of Emergency Situations (MChS),,SUM
1612,Russia - National Guard,,RIF
1613,Russia - Special Flight Squadron,,RSD
1614,Rutaca Airlines,5R,RUC
1615,RVL Aviation,,REV
1616,RwandAir,WB,RWD
1617,RWL German Flight Academy,,RWL
1618,Ryan Air (USA),7S,RYA
1619,Ryanair,FR,RYR
1620,Ryanair UK,RK,RUK
1621,S7 Airlines,S7,SBI
1622,SA Red Cross Air Mercy Service,,AMD
1623,SAAB Aircraft,,SCT
1624,SAAB Nyge Aero,,TGT
1625,SAF Helicopteres,,SHP
1626,Safari Express Cargo,ZF,SXY
1627,Safarilink Aviation,F2,XLK
1628,Saha Airlines,,IRZ
1629,Sahel Aviation Service,,SAO
1630,Saint Louis University,,BKN
1631,SalamAir,OV,OMS
1632,Salzburg Jet Aviation,,MOZ
1633,Sama Airline,,SDP
1634,Samoa Airways,OL,PAO
1635,San Marino Executive Aviation,,SMF
1636,Sansa,RZ,LRS
1637,Sapsan Airline,S2,KGB
1638,Sardinian Sky Service,,SSR
1639,SAS,SK,SAS
1640,SAS Connect,SL,SZS
1641,SAS Link,,SVS
1642,SATA Air Acores,SP,SAT
1643,Satena,9R,NSE
1644,Saudi Arabia - Air Force,,RSF
1645,Saudi Arabia - Royal Flight,,SRA
1646,Saudia,SV,SVA
1647,Saurya Airlines,,SAU
1648,Sawyer Aviation,,SJA
1649,SaxonAir,,SXN
1650,SC Aviation,,COL
1651,Scanwings,,ABF
1652,SCAT,DV,VSV
1653,Schmiedel Air Service,,SAB
1654,Scoot,TR,TGW
1655,Seaborne,BB,SBS
1656,SEair International,XO,SGD
1657,Searca,,SRC
1658,Secure Air Charter,,JCM
1659,SelectJet,,JSL
1660,Sepehran Airlines,IS,SHI
1661,Serbia - Air Force,,SRB
1662,Serene Air,ER,SEP
1663,Servicios Optimos de Aeroenlace,,ENL
1664,Servizi Aerei,,SNM
1665,Sevenair,,RVP
1666,Severstal Aircompany,D2,SSF
1667,SF Airlines,O3,CSS
1668,Shandong Airlines,SC,CDG
1669,Shandong Dagao International Flight Academy,,RXF
1670,Shanghai Airlines,FM,CSH
1671,Shell Aviation,,PEX
1672,Shenzhen Airlines,ZH,CSZ
1673,Shirak Avia,5G,SHS
1674,Shree Airlines,N9,SHA
1675,Shuttle America,S5,TCF
1676,Siam General Aviation,5E,SGN
1677,Sichuan Airlines,3U,CSC
1678,Sideral Linhas Aereas,,SID
1679,Sierra Charlie Aviation,,SCA
1680,Sierra Pacific Airlines,SI,SPA
1681,Sierra West Airlines,,PKW
1682,Silesia Air,,SUA
1683,Silk Way Airlines,ZP,AZQ
1684,Silk Way West Airlines,7L,AZG
1685,Silkavia,US,USA
1686,Silver Air,,SIS
1687,Silver Air,,SLD
1688,Silver Airways,3M,SIL
1689,Silver Cloud Air,,SCR
1690,Silverhawk Aviation,,SLH
1691,Singapore - Air Force,,SAF
1692,Singapore Airlines,SQ,SIA
1693,Singapore Airlines Cargo,,SQC
1694,Sino Jet,,SJM
1695,Sino Jet Beijing,,JBE
1696,Sirio,,SIO
1697,Sirius Aero,SA,CIG
1698,SKS Airways,KI,SJB
1699,Sky Airline,H2,SKU
1700,Sky Airline Peru,H8,SKX
1701,Sky Angkor Airlines,ZA,SWM
1702,Sky Bus,,HVY
1703,Sky Cana,RD,SNA
1704,SKY express,GQ,SEH
1705,Sky Fru,,KGZ
1706,Sky Helicopteros,,HSY
1707,Sky Jet M.G.,DU,LIZ
1708,Sky KG Airlines,,KGK
1709,Sky Lease Cargo,GG,KYE
1710,Sky Mali,ML,FML
1711,Sky Prime Aviation,,SPD
1712,Sky Quest,,ERY
1713,Sky Shuttle Helicopters,A7,HHK
1714,Sky Vision Airlines,SE,SVI
1715,SkyAlps,BQ,SWU
1716,Skyborne Airline Academy,,SFY
1717,Skybus,,IOS
1718,SkyCare,,PHX
1719,Skyfirst,,KFE
1720,SKYhigh Dominicana,DO,SHH
1721,SkyJet Airlines,M8,MSJ
1722,Skyline Express,QU,UTN
1723,SkyLink Express,,SLQ
1724,Skymark Airlines,BC,SKY
1725,Skymark Executive,,SMB
1726,Skypower Express Airways,NV,EAN
1727,Skyservice Business Aviation,,SYB
1728,Skyside,,SKV
1729,Skytaxi,TE,IGA
1730,Skytrack Systems,,TTQ
1731,Skytrans,QN,SKP
1732,SkyUp Airlines,PQ,SQP
1733,SkyUp MT,U5,SEU
1734,Skyvalue Airways,4A,DYN
1735,Skyward Express,OW,SEW
1736,Skyway Enterprises,,SKZ
1737,SkyWest Airlines,OO,SKW
1738,SkyWest Charter,CW,SCW
1739,Slam Lavori Aerei,,SLJ
1740,Sloane Helicopters,,SLN
1741,Slovakia - Air Force,,SQF
1742,Slovakia - Government,,SSG
1743,Slovenia - Air Force,,LSV
1744,Slovenia - Government,,GSI
1745,Smart Aviation,,SME
1746,Smart Jet,,SAH
1747,Smart Jet International,,SJI
1748,Smartavia,5N,AUL
1749,Smartline,,SMG
1750,SmartLynx,6Y,ART
1751,SmartLynx Estonia,,MYX
1752,SmartLynx Malta,2N,LYX
1753,Smartwings,QS,TVS
1754,Smartwings Hungary,7O,TVL
1755,Smartwings Poland,3Z,TVP
1756,Smartwings Slovakia,6D,TVQ
1757,Solairus Aviation,,TWY
1758,Solaseed Air,6J,SNJ
1759,Solenta Aviation,,SET
1760,Solenta Aviation Cote D'Ivoire,,SIV
1761,Solenta Aviation Gabon,,SVG
1762,Solinair,ZS,SOP
1763,Solomon Airlines,IE,SOL
1764,Soma Jets,,OZK
1765,Somon Air,SZ,SMR
1766,Sounds Air,,SDA
1767,South Africa - Air Force,,LMG
1768,South African Airways,SA,SAA
1769,Southern Air Charter,PL,SOA
1770,Southern Airways Express,9X,FDY
1771,Southern Cross International,,SXI
1772,Southwest Aircraft Charter,,CAK
1773,Southwest Airlines,WN,SWA
1774,Southwind Airlines,2S,STW
1775,Spain - Air Force,,AME
1776,Spain - Army,,ETF
1777,Spain - Coast Guard,,SSM
1778,Spain - Guardia Civil,,DGC
1779,Spain - National Police,,DGP
1780,Sparfell Luftfahrt,,LDX
1781,Sparfell Malta,,QFX
1782,Spartan College of Aeronautics and Technology,,SCU
1783,Specialist Aviation Services,,PLC
1784,SpiceJet,SG,SEJ
1785,Spirit Airlines,NK,NKS
1786,SpiritJets,,SJJ
1787,Spree Flug,,SFG
1788,Spring Airlines,9C,CQH
1789,Spring Japan,IJ,SJO
1790,SprintAir,P8,SRN
1791,SprintAir Cargo,,SAR
1792,SR Jet,,QSR
1793,SriLankan Airlines,UL,ALK
1794,Sriwijaya Air,SJ,SJY
1795,St Barth Commuter,PV,SBU
1796,St Barth Executive,LE,STB
1797,STAjets,,KFB
1798,Star Air,S5,SDG
1799,Star Air Cargo,,BRH
1800,Star East Airlines,4R,SEK
1801,Star Fly Wings,,SYW
1802,Star Peru,2I,SRU
1803,Star Wings,,STQ
1804,Star Work Sky,,SWP
1805,Starflyer,7G,SFJ
1806,Stark Airways,,XSK
1807,Starlink Aviation,Q4,TLK
1808,Starlite Aviation,,TRL
1809,Starlux,JX,SJX
1810,Sterling Airways,VC,SRY
1811,Sterling Aviation,,NSH
1812,STP Airways,8F,STP
1813,Su Airlines,,SUE
1814,Suburban Air Freight,,SUB
1815,Sudan Airways,SD,SUD
1816,Summit Air,,SUT
1817,Summit Aviation,,YEL
1818,Sun Air,,SAV
1819,Sun Air,SO,SNR
1820,Sun Country Airlines,SY,SCX
1821,Sun-Air,EZ,SUS
1822,Sunclass Airlines,DK,VKG
1823,Suncor Energy,,JSN
1824,Sundair,SR,SDR
1825,Sundt Air,,AKK
1826,Sundt Air,,MDT
1827,SunExpress,XQ,SXS
1828,Sunkar Air,,BBK
1829,Sunlight Air,2R,RLB
1830,Sunrise Airways,S6,KSZ
1831,Sunstate Airlines,,SSQ
1832,Sunwest Aviation,,CNK
1833,Sunwing Airlines,WG,SWG
1834,Suparna Airlines,Y8,YZR
1835,Super Air Jet,IU,SJV
1836,Supernova Airlines,P7,NPG
1837,Surf Air,,URF
1838,Surinam Airways,PY,SLM
1839,Surveillance Australia,,BDF
1840,Susi Air,,SQS
1841,Suzhou Aviation,,CBW
1842,Svensk Luftambulans,,SWV
1843,Svenskt Ambulansflyg,,SWE
1844,Svenskt Industriflyg,,JET
1845,SVG Air,,SVD
1846,Sweden - Armed Forces,,SVF
1847,Sweden - Coast Guard,,KBV
1848,Sweden - Police,,POL
1849,Sweden - Swedish Maritime Administration,,HMF
1850,Swift Copters,,WFC
1851,Swiftair,WT,SWT
1852,Swiftair Hellas,,MDF
1853,Swiss,LX,SWR
1854,Swiss Flight Services,,SFS
1855,Swiss Helicopter,,HSI
1856,Swiss Private Jet,,SWW
1857,Switzerland - Air Force,,SUI
1858,SXM Airways,,SXM
1859,Sylt Air,7E,AWU
1860,Syncrude Canada,,SYN
1861,Syphax Airlines,Y3,SYA
1862,Syrian Air,RB,SYR
1863,T'way Air,TW,TWB
1864,TAAG Angola Airlines,DT,DTA
1865,TAB Cargo,2L,BOL
1866,Taban Airlines,,TBN
1867,TAG Aviation,,VIP
1868,TAG Aviation Asia,,TBJ
1869,TAG Aviation Cayman,,TCJ
1870,TAG Aviation Malta,,TEU
1871,TAG Aviation San Marino,,TAG
1872,TagAirlines,5U,TGU
1873,Taiga Air,,TGA
1874,Tailwind Airlines,TI,TWI
1875,Tajik Air,7J,TJK
1876,Talon Air,,TFF
1877,Tanana Air Service,Z3,TNR
1878,TAP Air Portugal,TP,TAP
1879,Taquan Air,K3,TQN
1880,TAR Aerolineas,YQ,LCT
1881,Tarco Aviation,3T,TQQ
1882,Tarom,RO,ROT
1883,Tashkent Air,,TSK
1884,Tasman Cargo Airlines,HJ,TMN
1885,Tassili Airlines,SF,DTH
1886,Tatra JET,,TTJ
1887,Tbilisi Airways,TD,TBC
1888,TCA,N6,TZS
1889,Team Global Express,,TFX
1890,Tennessee Valley Authority,,VLY
1891,Terra Avia,T8,TVR
1892,Texel Air,,XLR
1893,Texel Air Australasia,,TNZ
1894,Tez Jet Airlines,K9,TEZ
1895,Thai AirAsia,FD,AIQ
1896,Thai AirAsia X,XJ,TAX
1897,Thai Airways,TG,THA
1898,Thai Lion Air,SL,TLM
1899,Thai VietJet Air,VZ,TVJ
1900,Thalair,,TLJ
1901,Thales UK Flight Inspection Service,,CLB
1902,The Little Jet Company,,LJC
1903,The Mitre Corporation,,MIP
1904,Thrive,,TIV
1905,Thrust Flight,,TRF
1906,Thunder Airlines,,THU
1907,Tianjin Air Cargo,HT,CTJ
1908,Tianjin Airlines,GS,GCR
1909,Tibet Airlines,TV,TBA
1910,Tigerair Taiwan,IT,TTW
1911,Time Air,,TIE
1912,Tinadar Jets,,NAD
1913,Titan Airways,ZT,AWC
1914,Titan Airways Malta,TM,TMT
1915,Total Express,,TOT
1916,Total Linhas Aereas,0T,TTL
1917,Toyo Aviation,,TOY
1918,Trade Air,C3,TDR
1919,Tradewind Aviation,TJ,GPD
1920,Trans Air Congo,Q8,TSG
1921,Trans Am Aero Express del Ecuador,7T,RTM
1922,Trans Guyana Airways,,TGY
1923,Trans Island Airways,,GGT
1924,Trans Maldivian Airways,,TMW
1925,Transair,R2,GTS
1926,Transair,R9,MUI
1927,Transavia,HV,TRA
1928,Transavia France,TO,TVF
1929,Transaviabaltika,,KTB
1930,Transaviaexport Airlines,,TXC
1931,TransNusa,8B,TNU
1932,Travel Management Company,,TMC
1933,Travira Air,,TVV
1934,Trebet Aviation,,AOO
1935,Tri-State Aero,,TSS
1936,Trident Aircraft,,WMN
1937,Trigana Air,IL,TGN
1938,Tropic Air,9N,TOS
1939,Tropic Ocean Airways,TI,FTO
1940,Tsaradia,TZ,TDS
1941,TUI Airlines Belgium,TB,JAF
1942,TUI Airlines Netherlands,OR,TFL
1943,TUI Airways,BY,TOM
1944,TUI fly,X3,TUI
1945,TUI fly Nordic,6B,BLX
1946,Tulpar,,RFE
1947,TUM AeroCarga,T2,MCS
1948,Tunisair,TU,TAR
1949,Tunisair Express,UG,TUX
1950,Tunisia - Air Force,,TUN
1951,Turkey - Air Force,,HVK
1952,Turkey - Government,,TRK
1953,Turkish Airlines,TK,THY
1954,Turkmenistan - Government,,TUG
1955,Turkmenistan Airlines,T5,TUA
1956,Turpial Airlines,T9,VTU
1957,Tus Air,U8,CYF
1958,Twin Jet,T7,TJT
1959,Tyrol Air Ambulance,,TYW
1960,Tyrolean Jets & Services,,TJS
1961,Tyrolean Jets & Services Malta,,TYJ
1962,UG Jet,,UGJ
1963,Uganda Airlines,UR,UGD
1964,Ukraine - State Air Traffic Service,,UTS
1965,Ukraine Air Alliance,,UKL
1966,Ukraine International Airlines,PS,AUI
1967,Ukrainian Wings,,UWJ
1968,ULS Airlines Cargo,GO,KZU
1969,Ultimate Jet,UE,UJC
1970,UmzaXpress,,UMZ
1971,UND Aerospace,,NDU
1972,UNI Air,B7,UIA
1973,Uni-Fly,,UNC
1974,Uni-Fly Heliworx,,UFX
1975,Uni-Top Airlines,UW,UTP
1976,Unicair,,UNI
1977,Union Aviation,,UAG
1978,Unique Air,,UQA
1979,United Airlines,UA,UAL
1980,United Arab Emirates - Air Force,,UAF
1981,United Aviate Academy,,VAR
1982,United Eagle,,UEE
1983,United Kingdom - Air Ambulance,,HLE
1984,United Kingdom - Army Air Corps,,AAC
1985,United Kingdom - Coast Guard,,SRD
1986,United Kingdom - Maritime and Coastguard Agency,,SRG
1987,United Kingdom - RAF Support Helicopter Force,,SHF
1988,United Kingdom - RAF Warton Military Flight Ops,,WTN
1989,United Kingdom - Royal Air Force,,RFR
1990,United Kingdom - Royal Air Force Air Transport,,RRR
1991,United Kingdom - Royal Navy,,NVY
1992,United Kingdom - UK Royal/VIP Flights,,KRF
1993,United Nations,,UNO
1994,United Nigeria Airlines,UN,NUA
1995,United States - Air Force,,RCH
1996,United States - FAA,,NHK
1997,United States - NASA,,IGY
1998,United States - NOA,,NOA
1999,United States - US Department of Interior,,DOI
2000,United States - US Department of Justice,,DOJ
2001,United States - US Department of State,,DOS
2002,United States - US Forest Service,,XCN
2003,United States - US Immigration and Customs Enforcement,,RPN
2004,United States - US Marshals Service,,MSH
2005,Universal Air,VO,UVL
2006,University of Central Missouri,,UCM
2007,University of Oklahoma,,OUA
2008,Uniworld Air Cargo,U7,UCG
2009,UPS,5X,UPS
2010,UR Airlines,UD,UBD
2011,Ural Airlines,U6,SVR
2012,Urumqi Air,UQ,CUH
2013,US-Bangla Airlines,BS,UBG
2014,USA Jet Airlines,UJ,JUS
2015,USC,XG,USY
2016,Utair,UT,UTA
2017,UVT Aero,RT,UVT
2018,Uzbekistan Airways,HY,UZB
2019,Valair,,VVV
2020,Valletta Airlines,,HOT
2021,VallJet,,VLJ
2022,ValueJet,VK,FVJ
2023,Van Air Europe,V9,VAA
2024,Varesh Airlines,,VRH
2025,Vasco,0V,VFC
2026,Venezolana,WW,VNE
2027,Ventura,,VNT
2028,Venture Aviation Group,,VET
2029,Venture West,,VWA
2030,VeriJet,,WSP
2031,Via Air,,VID
2032,Victory Air,,FTN
2033,Vieques Air Link,V4,VES
2034,VietJet Air,VJ,VJC
2035,Vietnam Airlines,VN,HVN
2036,Vietravel Airlines,VU,VAG
2037,Virgin Atlantic,VS,VIR
2038,Virgin Atlantic International,,VGI
2039,Virgin Australia,VA,VOZ
2040,Virgin Australia Regional,,OZW
2041,Vista America,,VJA
2042,VistaJet,,VJT
2043,VistaJet,H5,VJH
2044,Vistara,UK,VTI
2045,VivaAerobus,VB,VIV
2046,VoePass,2Z,PTB
2047,Volare Aviation,,VLZ
2048,Volaris,Y4,VOI
2049,Volaris Costa Rica,Q6,VOC
2050,Volaris El Salvador,N3,VOS
2051,Volato,,TMB
2052,Volga-Dnepr Airlines,VI,VDA
2053,Volotea,V7,VOE
2054,Voluxis,,VXS
2055,Voyage Air,,VRG
2056,Voyageur Airways,VC,VAL
2057,Vueling,VY,VLG
2058,VW Air Service,,BTX
2059,Wamos Air,EB,PLM
2060,Warbelows Air Ventures,4W,WAV
2061,Wasaya Airways,WP,WSG
2062,Wermlandsflyg,,SWX
2063,Wermlandsflyg,,BLW
2064,West Air,PN,CHB
2065,West Air,,PCM
2066,West Air Sweden,T2,SWN
2067,West Atlantic,,NPT
2068,West Coast Charters,,WCC
2069,West Link Airlines,,WLN
2070,Westair Aviation,,WAA
2071,Westair Helicopter Saudi,,WSH
2072,Western Air,WU,WST
2073,Western Air Express,,WAE
2074,Western Aircraft,ST,STT
2075,Western Global Airlines,KD,WGN
2076,Western Michigan University College of Aviation,,WMU
2077,WestJet,WS,WJA
2078,WestJet Encore,WR,WEN
2079,Wheels Up,,WUP
2080,White,WI,WHT
2081,Wideroe,WF,WIF
2082,Wiggins Airways,,WIG
2083,Wiking Helikopter Service,,WHS
2084,Winair,WM,WIA
2085,Windrose Air Jetcharter,,QGA
2086,Windrose Airlines,7W,WRC
2087,Wing Aviation,,CWG
2088,Wingo,,RPB
2089,Wingo Panama,WH,WWP
2090,Wings Air,IW,WON
2091,Wizz Air,W6,WZZ
2092,Wizz Air Abu Dhabi,5W,WAZ
2093,Wizz Air Malta,W4,WMT
2094,Wizz Air UK,W9,WUK
2095,Woodgate Aviation,,CWY
2096,World Atlantic Airlines,WL,WAL
2097,World Cargo Airlines,3G,WCM
2098,World2Fly,2W,WFL
2099,World2Fly Portugal,3P,WPT
2100,Worldwide Jet Charter,,WWI
2101,Wright Air Service,8V,WRF
2102,XE Jet,,XEJ
2103,Xead Aviation,,XED
2104,Xfly,EE,EST
2105,Xiamen Air,MF,CXA
2106,Xinjiang Skylink General Aviation,,KGA
2107,Xo,,XOJ
2108,Yakutia Airlines,R3,SYL
2109,Yamal Airlines,YC,LLM
2110,YanAir,YE,ANR
2111,Yazd Airways,,DZD
2112,Yemenia,IY,IYE
2113,Yeti Airlines,YT,NYT
2114,YTO Cargo Airlines,YG,HYT
2115,Z Air,7Z,EZR
2116,Zafer Air,,HMZ
2117,Zagros Airlines,ZO,IZG
2118,Zambia Airways,ZN,AZB
2119,Zanair,,TAN
2120,Zenflight,,XEN
2121,Zenith Aviation,,BZE
2122,Zetavia,ZK,ZAV
2123,Zeusch Aviation,,SUZ
2124,Zhou Ji Airlines,,JCN
2125,Zil Air,,SYZ
2126,Zimex Aviation,XM,IMX
2127,Zimex Aviation Austria,ZX,AZD
2128,Zipair,ZG,TZP
2129,Zooom,ZO,ZOM
2130,Zorex,,ORZ
2131,ZYB Lily Jet,,MZT
